# Wordlist

# META
@date:2013-07-16
@doculect:Huitoto Muinane, hto
@source_title:Automatically created wordlist, by lingpy.

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
934	burtch1983/138/9	BEB	jirode	Huitoto Murui	h i ɾ ɔ d ɛ
935	leach1969/130/50	BEB	ñoxóóhxa	Ocaina	nʲ o x o o ʔ x a
936	thiesen1998/29/11	BEB	ado	Bora	a tʰ o
#
937	leach1969/92/8	HOMBR	dyuxáávu	Ocaina	dʑ ɯ x a a β ɯ
938	burtch1983/214/13	HOMBR	rocafaì	Huitoto Murui	ɾ ɔ k a ɸ ai
939	minor1971/55/40	HOMBR	pecállaìdoì̵	Huitoto Muinane	p ɛ k a dʑ a i d o ɯ̀
940	burtch1983/112/7	HOMBR	imi̵e	Huitoto Murui	i m ɯ ɛ
941	thiesen1998/205/32	HOMBR	nohríwa	Bora	n o ʔ r i kʷ a
942	thiesen1998/328/6	HOMBR	wápaavye	Bora	kʷ a pʰ a: βʝ e
943	thiesen1998/185/16	HOMBR	mí̵amúnáajpi	Bora	m i̵ a m u n a a x pʰ i
944	thiesen1998/296/6	HOMBR	úji̵ba	Bora	u x i̵ pʰ a
945	leach1969/135/25	HOMBR	oohu	Ocaina	o o ʔ ɯ
946	burtch1983/86/16	HOMBR	fecanico	Huitoto Murui	ɸ ɛ k a n i k ɔ
947	burtch1983/112/8	HOMBR	imi̵iaì̵	Huitoto Murui	i m ɯ i aɯ̀
948	minor1971/30/30	HOMBR	jeráì̵llaìdoì̵	Huitoto Muinane	ʔ ɛ ɾ a ɯ̀ dʑ a i d o ɯ̀
949	thiesen1998/328/6	HOMBR	wáhpabya	Bora	kʷ a ʔ pʰ a pʰʝ a
950	burtch1983/258/5	HOMBR	i̵ima	Huitoto Murui	ɯ i m a
951	minor1971/61/17	HOMBR	rocánotde	Huitoto Muinane	ɾ o k a n o ɗ ɛ
952	burtch1983/258/6	HOMBR	i̵iñi̵aì̵	Huitoto Murui	ɯ i nʲ ɯ aɯ̀
953	burtch1983/86/12	HOMBR	fecabe bora	Huitoto Murui	ɸ ɛ k a b ɛ # b ɔ ɾ a
#
954	minor1971/22/18	ALA	iáìco	Huitoto Muinane	i a i k o
955	burtch1983/103/16	ALA	iaìco	Huitoto Murui	i ai k ɔ
956	leach1969/96/47	ALA	fonn̈óónvuca	Ocaina	ɸ õ n̥ o on β ɯ k a
#
957	minor1971/49/27	BARRIG	nemúìgi̵	Huitoto Muinane	n ɛ m u i g ɯ
958	burtch1983/88/17	BARRIG	fenaì̵gi̵	Huitoto Murui	ɸ ɛ n aɯ̀ g ɯ
959	burtch1983/128/3	BARRIG	jebe	Huitoto Murui	h ɛ b ɛ
960	minor1971/29/27	BARRIG	jebe	Huitoto Muinane	ʔ ɛ b ɛ
961	burtch1983/128/8	BARRIG	jebegi̵	Huitoto Murui	h ɛ b ɛ g ɯ
962	burtch1983/88/17	BARRIG	fenaì̵lli̵	Huitoto Murui	ɸ ɛ n aɯ̀ dʑ ɯ
963	thiesen1998/136/30	BARRIG	ihbáu	Bora	i ʔ pʰ a u
964	burtch1983/88/17	BARRIG	fenaì̵	Huitoto Murui	ɸ ɛ n aɯ̀
965	thiesen1998/136/30	BARRIG	ihbáuú	Bora	i ʔ pʰ a u u
966	leach1969/100/1	BARRIG	gáájo	Ocaina	g a a ʔ o
#
967	minor1971/23/16	CORTEZ	igóraì̵	Huitoto Muinane	i g o ɾ a ɯ̀
968	leach1969/159/19	CORTEZ	xon̈úúhca	Ocaina	x o n̥ ɯ́ ɯ́ ʔ k a
969	minor1971/22/36	CORTEZ	icuru	Huitoto Muinane	i k u ɾ u
970	thiesen1998/298/7	CORTEZ	úméhemí̵í̵ho	Bora	u m e ʔ e m i̵i̵ ʔ o
#
971	minor1971/55/16	GRAS	pare	Huitoto Muinane	p a ɾ ɛ
972	burtch1983/84/3	GRAS	fare	Huitoto Murui	ɸ a ɾ ɛ
973	thiesen1998/124/18	GRAS	dúúruú	Bora	tʰ u: r u u
974	thiesen1998/124/18	GRAS	dúúru	Bora	tʰ u: r u
975	burtch1983/84/9	GRAS	farede	Huitoto Murui	ɸ a ɾ ɛ d ɛ
976	thiesen1998/124/19	GRAS	dúúruba	Bora	tʰ u: r u pʰ a
977	leach1969/93/55	GRAS	fajiin	Ocaina	ɸ a ʔ i ĩ
#
978	leach1969/137/8	HOJ	opaavi	Ocaina	o p a a β i
979	thiesen1998/155/20	HOJ	í̵naháámi̵	Bora	i̵ n a ʔ a: m i̵
980	burtch1983/104/14	HOJ	ibe	Huitoto Murui	i b ɛ
981	burtch1983/109/11	HOJ	iforo	Huitoto Murui	i ɸ ɔ ɾ ɔ
982	burtch1983/104/15	HOJ	ibeni̵aì̵	Huitoto Murui	i b ɛ n ɯ aɯ̀
983	minor1971/59/4	HOJ	rabe	Huitoto Muinane	ɾ a b ɛ
#
984	thiesen1998/188/23	QUIEN	múha	Bora	m u ʔ a
985	thiesen1998/188/23	QUIEN	mu-	Bora	m u
#
986	leach1969/105/7	NUB	jahfíího	Ocaina	ʔ a ʔ ɸ i i ʔ o
987	thiesen1998/213/18	NUB	ojtso	Bora	o x tʰs o
#
988	thiesen1998/275/29	UNO	tsáheéco	Bora	tʰs a ʔ e e kʰ o
989	leach1969/147/22	UNO	tyaam̈ámah	Ocaina	tʑ a a m̥ a m a ʔ
990	thiesen1998/280/16	UNO	tsava	Bora	tʰs a β a
991	burtch1983/61/8	UNO	dae	Huitoto Murui	d a ɛ
992	leach1969/147/23	UNO	tyaavúmah	Ocaina	tʑ a a β ɯ́ m a ʔ
993	minor1971/15/1	UNO	da	Huitoto Muinane	d a
994	thiesen1998/277/32	UNO	tsane	Bora	tʰs a n e
995	thiesen1998/274/29	UNO	tsami̵	Bora	tʰs a m i̵
996	thiesen1998/274/30	UNO	tsane	Bora	tʰs a n e
997	thiesen1998/280/12	UNO	tsau	Bora	tʰs a u
998	thiesen1998/276/35	UNO	tsaja	Bora	tʰs a x a
999	thiesen1998/280/6	UNO	tsátsii	Bora	tʰs a tʰs i:
1000	thiesen1998/275/22	UNO	tsáhbahya	Bora	tʰs a ʔ pʰ a ʔʝ a
1001	leach1969/147/21	UNO	tyahiim̈ámah	Ocaina	tʑ a ʔ i i m̥ a m a ʔ
1002	leach1969/147/20	UNO	tya mah	Ocaina	tʑ a # m a ʔ
1003	thiesen1998/275/8	UNO	tsaha	Bora	tʰs a ʔ a
1004	thiesen1998/277/11	UNO	tsaji̵	Bora	tʰs a x i̵
1005	thiesen1998/276/27	UNO	tsáijyu	Bora	tʰs a i xʝ u
1006	burtch1983/61/8	UNO	daje	Huitoto Murui	d a h ɛ
1007	thiesen1998/278/21	UNO	tsaápi	Bora	tʰs a a pʰ i
1008	leach1969/147/24	UNO	tyatyoofómah	Ocaina	tʑ a tʑ o o ɸ o m a ʔ
1009	burtch1983/59/4	UNO	da	Huitoto Murui	d a
1010	thiesen1998/275/15	UNO	tsáhadsi̵	Bora	tʰs a ʔ a tʰs i̵
1011	thiesen1998/276/4	UNO	tsáhiíba	Bora	tʰs a ʔ i i pʰ a
1012	burtch1983/62/17	UNO	dami̵e	Huitoto Murui	d a m ɯ ɛ
#
1013	thiesen1998/216/22	FLAC	óyócú	Bora	o ʝ o kʰ u
1014	thiesen1998/296/22	FLAC	újtsíh	Bora	u x tʰs i ʔ
1015	thiesen1998/296/22	FLAC	ujtsíwu	Bora	u x tʰs i kʷ u
1016	thiesen1998/148/14	FLAC	í̵búcúh	Bora	i̵ pʰ u kʰ u ʔ
1017	thiesen1998/148/14	FLAC	í̵búcú	Bora	i̵ pʰ u kʰ u
1018	thiesen1998/296/22	FLAC	újtsí	Bora	u x tʰs i
1019	thiesen1998/216/22	FLAC	óyócúh	Bora	o ʝ o kʰ u ʔ
1020	leach1969/78/18	FLAC	boojo	Ocaina	b o o ʔ o
1021	thiesen1998/123/27	FLAC	dúhcúh	Bora	tʰ u ʔ kʰ u ʔ
1022	thiesen1998/123/27	FLAC	dúhcú	Bora	tʰ u ʔ kʰ u
#
1023	leach1969/115/40	HINCH	juuhxa	Ocaina	ʔ ɯ ɯ ʔ x a
1024	burtch1983/231/13	HINCH	si̵ride	Huitoto Murui	s ɯ ɾ i d ɛ
1025	thiesen1998/214/33	HINCH	óóricho	Bora	oo r i kʰʔ o
1026	thiesen1998/214/30	HINCH	oori	Bora	o: r i
1027	leach1969/114/10	HINCH	júhxaanjin	Ocaina	ʔ ɯ́ ʔ x a ã ʔ ĩ
1028	leach1969/115/44	HINCH	júhxaanjin	Ocaina	ʔ ɯ́ ʔ x a ã ʔ ĩ
#
1029	burtch1983/137/9	PORQUE	jira	Huitoto Murui	h i ɾ a
1030	minor1971/51/8	PORQUE	ni̵báì	Huitoto Muinane	n ɯ b a i
1031	minor1971/51/13	PORQUE	ni̵ci̵	Huitoto Muinane	n ɯ k ɯ
1032	minor1971/51/9	PORQUE	ni̵baì̵	Huitoto Muinane	n ɯ b a ɯ̀
1033	minor1971/51/38	PORQUE	ni̵i̵me	Huitoto Muinane	n ɯ ɯ m ɛ
#
1034	thiesen1998/146/34	SUCI	iiñúváwu	Bora	i: nʲ u β a kʷ u
1035	leach1969/68/43	SUCI	áánm̈a	Ocaina	a ã m̥ a
1036	leach1969/127/14	SUCI	ñááhun	Ocaina	nʲ a a ʔ ɯn
1037	burtch1983/127/18	SUCI	jeare	Huitoto Murui	h ɛ a ɾ ɛ
1038	thiesen1998/146/34	SUCI	íñúvá	Bora	i nʲ u β a
1039	thiesen1998/197/9	SUCI	nehníwu	Bora	n e ʔ n i kʷ u
1040	thiesen1998/197/9	SUCI	néhníh	Bora	n e ʔ n i ʔ
1041	thiesen1998/197/9	SUCI	néhní	Bora	n e ʔ n i
1042	leach1969/74/15	SUCI	avóóhxo	Ocaina	a β o o ʔ x o
1043	burtch1983/253/15	SUCI	i̵aì̵re	Huitoto Murui	ɯ aɯ̀ ɾ ɛ
#
1044	thiesen1998/205/32	MUJ	nohríwa	Bora	n o ʔ r i kʷ a
1045	burtch1983/219/3	MUJ	ri̵ño	Huitoto Murui	ɾ ɯ nʲ ɔ
1046	leach1969/118/7	MUJ	maami	Ocaina	m a a m i
1047	minor1971/34/15	MUJ	jii̵	Huitoto Muinane	ʔ i ɯ
1048	thiesen1998/185/17	MUJ	mí̵amúnáalle	Bora	m i̵ a m u n a a tʰʃ e
1049	minor1971/62/35	MUJ	ri̵ngo	Huitoto Muinane	ɾ ɯ ŋ o
1050	burtch1983/112/17	MUJ	iñaìño	Huitoto Murui	i nʲ ai nʲ ɔ
1051	minor1971/23/32	MUJ	illáì̵mango	Huitoto Muinane	i dʑ a ɯ̀ m a ŋ o
#
1052	burtch1983/71/1	CON	di̵ga	Huitoto Murui	d ɯ g a
1053	minor1971/18/22	CON	di̵ga	Huitoto Muinane	d ɯ g a
1054	leach1969/123/15	CON	muunhto	Ocaina	m ɯ ɯn ʔ t o
#
1055	burtch1983/48/8	ANIMAL	comuìcana jaìde	Huitoto Murui	k ɔ m ui k a n a # h ai d ɛ
1056	minor1971/50/30	ANIMAL	nonócuèño	Huitoto Muinane	n o n o k u ɛ nʲ o
1057	leach1969/88/48	ANIMAL	dyohxaan	Ocaina	dʑ o ʔ x a ã
1058	burtch1983/202/11	ANIMAL	ocaìnaì̵aì̵	Huitoto Murui	ɔ k ai n aɯ̀ aɯ̀
1059	thiesen1998/135/5	ANIMAL	iáábéiyáábe	Bora	i a: pʰ e i ʝ a: pʰ e
1060	minor1971/40/13	ANIMAL	llaíño	Huitoto Muinane	dʑ a i nʲ o
1061	burtch1983/202/10	ANIMAL	ocaìna	Huitoto Murui	ɔ k ai n a
1062	thiesen1998/135/5	ANIMAL	iáméiyáme	Bora	i a m e i ʝ a m e
1063	minor1971/70/39	ANIMAL	uullaiño	Huitoto Muinane	u u dʑ a i nʲ o
1064	minor1971/35/10	ANIMAL	jolláma	Huitoto Muinane	ʔ o dʑ a m a
1065	thiesen1998/147/35	ANIMAL	iyáábe	Bora	i ʝ a: pʰ e
#
1066	thiesen1998/137/23	LENGU	íhjyu	Bora	i ʔ xʝ u
1067	thiesen1998/204/4	LENGU	ní̵í̵ji̵wa	Bora	n i̵i̵ x i̵ kʷ a
1068	minor1971/26/4	LENGU	ií̵pe	Huitoto Muinane	i ɯ́ p ɛ
1069	burtch1983/117/10	LENGU	ii̵fe	Huitoto Murui	i ɯ ɸ ɛ
1070	thiesen1998/137/23	LENGU	íhjyuú	Bora	i ʔ xʝ u u
1071	leach1969/108/10	LENGU	jinñóónhfu	Ocaina	ʔ ĩ nʲ o on ʔ ɸ ɯ
#
1072	thiesen1998/253/32	FROT	tákíyóhcáme̱i	Bora	tʰ a kʰ i ʝ o ʔ kʰ a m e i
1073	leach1969/146/8	FROT	tsoofi	Ocaina	ts o o ɸ i
1074	minor1971/22/10	FROT	gi̵tde	Huitoto Muinane	g ɯ ɗ ɛ
1075	leach1969/146/19	FROT	tsoora	Ocaina	ts o o r a
1076	thiesen1998/248/26	FROT	tácájyunu	Bora	tʰ a kʰ a xʝ u n u
1077	thiesen1998/164/18	FROT	kíjíyijcyo	Bora	kʰ i x i ʝ i x kʰʝ o
1078	thiesen1998/164/18	FROT	kiiyi	Bora	kʰ i: ʝ i
1079	thiesen1998/164/18	FROT	kíjíyiáco	Bora	kʰ i x i ʝ i a kʰ o
1080	thiesen1998/232/8	FROT	píchíchihjyáco	Bora	pʰ i kʰʔ i kʰʔ i ʔ xʝ a kʰ o
1081	thiesen1998/232/8	FROT	píchíchihcyu	Bora	pʰ i kʰʔ i kʰʔ i ʔ kʰʝ u
1082	thiesen1998/248/26	FROT	tácajyáro	Bora	tʰ a kʰ a xʝ a r o
1083	leach1969/146/24	FROT	tsooun	Ocaina	ts o o ɯn
1084	leach1969/161/32	FROT	xuuru	Ocaina	x ɯ ɯ r ɯ
#
1085	burtch1983/149/15	REDOND	ji̵cueco	Huitoto Murui	h ɯ k u ɛ k ɔ
1086	burtch1983/105/4	REDOND	ibogi̵	Huitoto Murui	i b ɔ g ɯ
1087	minor1971/46/4	REDOND	mocotdochide	Huitoto Muinane	m o k o ɗ o kʔ i d ɛ
#
1088	burtch1983/42/8	SENT	llegi̵ cacad	Huitoto Murui	dʑ ɛ g ɯ # k a k a d
1089	thiesen1998/28/22	SENT	ácujco	Bora	a kʰ u x kʰ o
1090	thiesen1998/28/28	SENT	ácuuve	Bora	a kʰ u: β e
1091	thiesen1998/171/1	SENT	llíñémuúcu̱nu	Bora	tʰʃ i nʲ e m u u kʰ u n u
1092	burtch1983/212/14	SENT	raì̵nade	Huitoto Murui	ɾ aɯ̀ n a d ɛ
1093	thiesen1998/28/28	SENT	áhcuba	Bora	a ʔ kʰ u pʰ a
1094	minor1971/60/12	SENT	raì̵ide	Huitoto Muinane	ɾ a ɯ̀ i d ɛ
1095	thiesen1998/28/22	SENT	ácujcáro	Bora	a kʰ u x kʰ a r o
1096	burtch1983/234/10	SENT	taì̵taì̵rede	Huitoto Murui	t aɯ̀ t aɯ̀ ɾ ɛ d ɛ
1097	minor1971/9/12	SENT	cácade	Huitoto Muinane	k a k a d ɛ
1098	leach1969/77/5	SENT	biiñihi	Ocaina	b i i nʲ i ʔ i
1099	burtch1983/212/10	SENT	raì̵nadate	Huitoto Murui	ɾ aɯ̀ n a d a t ɛ
1100	thiesen1998/171/1	SENT	llíñémújca̱tye	Bora	tʰʃ i nʲ e m u x kʰ a tʰʝ e
1101	leach1969/157/34	SENT	xaxaru	Ocaina	x a x a r ɯ
1102	burtch1983/42/13	SENT	cacatate	Huitoto Murui	k a k a t a t ɛ
1103	burtch1983/212/6	SENT	raì̵de	Huitoto Murui	ɾ aɯ̀ d ɛ
1104	minor1971/35/12	SENT	joobitde	Huitoto Muinane	ʔ o o b i ɗ ɛ
1105	minor1971/9/2	SENT	bi̵ji̵tdi̵tde	Huitoto Muinane	b ɯ ʔ ɯ ɗ ɯ ɗ ɛ
#
1106	leach1969/95/15	LUN	fodyoome	Ocaina	ɸ o dʑ o o m ɛ
1107	minor1971/31/23	LUN	jicuebeti̵	Huitoto Muinane	ʔ i k u ɛ b ɛ t ɯ
1108	burtch1983/96/12	LUN	fi̵vuì	Huitoto Murui	ɸ ɯ β ui
1109	thiesen1998/206/35	LUN	nuhba péjcóejpi	Bora	n u ʔ pʰ a # pʰ e x kʰ o e x pʰ i
1110	thiesen1998/206/32	LUN	nuhba	Bora	n u ʔ pʰ a
1111	thiesen1998/229/27	LUN	péjcóejpi nuhba	Bora	pʰ e x kʰ o e x pʰ i # n u ʔ pʰ a
1112	minor1971/58/12	LUN	pi̵vi̵ì	Huitoto Muinane	p ɯ β ɯ i
1113	burtch1983/96/13	LUN	fi̵vuìni̵aì̵	Huitoto Murui	ɸ ɯ β ui n ɯ aɯ̀
#
1114	minor1971/61/4	ARBOL	rigana	Huitoto Muinane	ɾ i g a n a
1115	minor1971/4/40	ARBOL	aména	Huitoto Muinane	a m ɛ n a
#
1116	thiesen1998/36/15	LLUVI	alle	Bora	a tʰʃ e
1117	thiesen1998/200/5	LLUVI	nííjyaba	Bora	n i: xʝ a pʰ a
1118	leach1969/130/14	LLUVI	ñoon	Ocaina	nʲ o õ
1119	leach1969/130/14	LLUVI	ñoonjun	Ocaina	nʲ o õ ʔ ɯn
1120	burtch1983/194/1	LLUVI	noci̵	Huitoto Murui	n ɔ k ɯ
1121	minor1971/50/12	LLUVI	noci̵	Huitoto Muinane	n o k ɯ
1122	thiesen1998/36/15	LLUVI	állecúnu	Bora	a tʰʃ e kʰ u n u
#
1123	thiesen1998/274/21	VEN	tsaá	Bora	tʰs a a
1124	leach1969/145/26	VEN	tsiñ̈íínhonfe	Ocaina	ts i nʲ̈ i ĩ ʔ õ ɸ ɛ
1125	thiesen1998/51/12	VEN	bájkyemóóho	Bora	pʰ a x kʰʝ e m oo ʔ o
1126	thiesen1998/274/22	VEN	tsaa	Bora	tʰs a:
1127	minor1971/7/41	VEN	bitde	Huitoto Muinane	b i ɗ ɛ
1128	leach1969/154/47	VEN	uuxo	Ocaina	ɯ ɯ x o
1129	burtch1983/199/21	VEN	ñecuìo	Huitoto Murui	nʲ ɛ k ui ɔ
1130	burtch1983/57/16	VEN	ci̵toni̵aì̵	Huitoto Murui	k ɯ t ɔ n ɯ aɯ̀
1131	minor1971/52/11	VEN	ñecuìo	Huitoto Muinane	nʲ ɛ k u i o
1132	leach1969/153/3	VEN	aa	Ocaina	a a
1133	leach1969/67/1	VEN	aaji	Ocaina	a a ʔ i
1134	minor1971/13/40	VEN	ci̵tdo	Huitoto Muinane	k ɯ ɗ o
1135	leach1969/67/1	VEN	aa	Ocaina	a a
1136	leach1969/153/3	VEN	aaji	Ocaina	a a ʔ i
1137	leach1969/67/1	VEN	uu	Ocaina	ɯ ɯ
1138	burtch1983/36/11	VEN	bite	Huitoto Murui	b i t ɛ
1139	leach1969/153/3	VEN	uu	Ocaina	ɯ ɯ
#
1140	minor1971/70/9	HUM	uìlli̵e	Huitoto Muinane	u i dʑ ɯ ɛ
1141	thiesen1998/213/16	HUM	ojtso	Bora	o x tʰs o
1142	minor1971/70/8	HUM	uìllí̵de	Huitoto Muinane	u i dʑ ɯ́ d ɛ
1143	thiesen1998/213/15	HUM	ojtso	Bora	o x tʰs o
1144	burtch1983/248/9	HUM	uìlli̵e	Huitoto Murui	ui dʑ ɯ ɛ
1145	thiesen1998/39/8	HUM	ámópácyoove	Bora	a m o pʰ a kʰʝ o: β e
1146	leach1969/105/7	HUM	jahfíího	Ocaina	ʔ a ʔ ɸ i i ʔ o
#
1147	thiesen1998/185/26	ESTRELL	mí̵í̵curu	Bora	m i̵i̵ kʰ u r u
1148	leach1969/132/41	ESTRELL	ohxóóhtyo	Ocaina	o ʔ x o o ʔ tʑ o
1149	burtch1983/243/13	ESTRELL	ucudu	Huitoto Murui	u k u d u
1150	burtch1983/243/13	ESTRELL	ucudo	Huitoto Murui	u k u d ɔ
1151	minor1971/69/3	ESTRELL	ucúdo	Huitoto Muinane	u k u d o
#
1152	burtch1983/122/10	VIENT	jaìrifo	Huitoto Murui	h ai ɾ i ɸ ɔ
1153	leach1969/116/29	VIENT	juvóón	Ocaina	ʔ ɯ β o on
1154	thiesen1998/164/15	VIENT	kííjyeba	Bora	kʰ i: xʝ e pʰ a
1155	leach1969/116/28	VIENT	juvóódyo	Ocaina	ʔ ɯ β o o dʑ o
1156	burtch1983/30/3	VIENT	aì̵fi̵	Huitoto Murui	aɯ̀ ɸ ɯ
1157	burtch1983/30/4	VIENT	aì̵fi̵ni̵aì̵	Huitoto Murui	aɯ̀ ɸ ɯ n ɯ aɯ̀
1158	leach1969/116/28	VIENT	juvóón	Ocaina	ʔ ɯ β o on
#
1159	burtch1983/169/4	TEN	lli̵ide	Huitoto Murui	dʑ ɯ i d ɛ
1160	burtch1983/116/10	TEN	ite	Huitoto Murui	i t ɛ
1161	minor1971/43/31	TEN	lli̵ide	Huitoto Muinane	dʑ ɯ i d ɛ
#
1162	thiesen1998/73/5	SAL	cánáámaá	Bora	kʰ a n a: m a a
1163	thiesen1998/139/26	SAL	ijchívye	Bora	i x kʰʔ i βʝ e
1164	thiesen1998/61/31	SAL	búniivye	Bora	pʰ u n i: βʝ e
1165	burtch1983/52/13	SAL	cuere	Huitoto Murui	k u ɛ ɾ ɛ
1166	minor1971/28/16	SAL	jaréde	Huitoto Muinane	ʔ a ɾ ɛ d ɛ
1167	thiesen1998/73/5	SAL	cánaama	Bora	kʰ a n a: m a
1168	leach1969/146/16	SAL	tsonhmáávihxa	Ocaina	ts õ ʔ m a a β i ʔ x a
1169	leach1969/146/15	SAL	játsonhmaavi	Ocaina	ʔ a ts õ ʔ m a a β i
1170	thiesen1998/61/31	SAL	búhniba	Bora	pʰ u ʔ n i pʰ a
1171	thiesen1998/145/8	SAL	ímú	Bora	i m u
1172	leach1969/103/17	SAL	jaai	Ocaina	ʔ a a i
1173	thiesen1998/145/8	SAL	iimúwúímúhreé	Bora	i: m u kʷ u i m u ʔ r e e
1174	burtch1983/36/4	SAL	biñoìde	Huitoto Murui	b i nʲ ɔi d ɛ
1175	leach1969/103/22	SAL	jááidya	Ocaina	ʔ a a i dʑ a
1176	thiesen1998/145/8	SAL	ímúh	Bora	i m u ʔ
1177	thiesen1998/139/27	SAL	ijchívye	Bora	i x kʰʔ i βʝ e
1178	thiesen1998/73/8	SAL	cánaamánu	Bora	kʰ a n a: m a n u
1179	burtch1983/23/9	SAL	aìjide	Huitoto Murui	ai h i d ɛ
1180	burtch1983/23/8	SAL	aìjicaìde	Huitoto Murui	ai h i k ai d ɛ
1181	thiesen1998/82/15	SAL	cátuuve	Bora	kʰ a tʰ u: β e
1182	leach1969/146/13	SAL	tsoonhmu	Ocaina	ts o õ ʔ m ɯ
1183	burtch1983/121/4	SAL	jaìde	Huitoto Murui	h ai d ɛ
1184	burtch1983/36/4	SAL	bioìde	Huitoto Murui	b i ɔi d ɛ
1185	thiesen1998/73/5	SAL	cánááma	Bora	kʰ a n a: m a
1186	burtch1983/239/8	SAL	ti̵corite	Huitoto Murui	t ɯ k ɔ ɾ i t ɛ
1187	leach1969/140/12	SAL	tááu	Ocaina	t a a ɯ
1188	thiesen1998/73/5	SAL	cánaáma	Bora	kʰ a n a a m a
#
1189	minor1971/26/30	TEM	jací̵ruitde	Huitoto Muinane	ʔ a k ɯ́ ɾ u i ɗ ɛ
1190	thiesen1998/206/3	TEM	noúhcolle	Bora	n o u ʔ kʰ o tʰʃ e
1191	leach1969/144/3	TEM	tuuro	Ocaina	t ɯ ɯ r o
1192	burtch1983/119/8	TEM	jaci̵naìte	Huitoto Murui	h a k ɯ n ai t ɛ
#
1193	burtch1983/183/18	TODO	na	Huitoto Murui	n a
1194	minor1971/48/28	TODO	nana	Huitoto Muinane	n a n a
1195	leach1969/82/23	TODO	chíí	Ocaina	kʔ i i
1196	thiesen1998/216/26	TODO	paa-	Bora	pʰ a:
1197	burtch1983/187/12	TODO	nana	Huitoto Murui	n a n a
1198	thiesen1998/216/26	TODO	pa-	Bora	pʰ a
#
1199	leach1969/70/10	SAB	ááxa	Ocaina	a a x a
1200	leach1969/136/28	SAB	ooroja	Ocaina	o o r o ʔ a
1201	burtch1983/95/7	SAB	fi̵di̵de	Huitoto Murui	ɸ ɯ d ɯ d ɛ
1202	burtch1983/42/1	SAB	ca	Huitoto Murui	k a
1203	thiesen1998/319/7	SAB	waajácu	Bora	kʷ a: x a kʰ u
1204	minor1971/57/29	SAB	pi̵di̵de	Huitoto Muinane	p ɯ d ɯ d ɛ
1205	burtch1983/248/19	SAB	uiñote	Huitoto Murui	u i nʲ ɔ t ɛ
1206	minor1971/54/19	SAB	onóde	Huitoto Muinane	o n o d ɛ
#
1207	leach1969/155/17	VER	xaa	Ocaina	x a a
1208	thiesen1998/300/9	VER	úniu	Bora	u n i u
1209	thiesen1998/300/9	VER	úniúúcu	Bora	u n i u: kʰ u
1210	thiesen1998/300/9	VER	úniúúne	Bora	u n i u: n e
1211	burtch1983/32/9	VER	baìrede	Huitoto Murui	b ai ɾ ɛ d ɛ
1212	thiesen1998/35/4	VER	ájtyumi̵	Bora	a x tʰʝ u m i̵
#
1213	burtch1983/92/3	BOC	fue	Huitoto Murui	ɸ u ɛ
1214	leach1969/98/10	BOC	foou	Ocaina	ɸ o o ɯ
1215	thiesen1998/178/21	BOC	mehdúcu	Bora	m e ʔ tʰ u kʰ u
1216	thiesen1998/109/18	BOC	di̵máhba	Bora	tʰ i̵ m a ʔ pʰ a
1217	thiesen1998/137/23	BOC	íhjyu	Bora	i ʔ xʝ u
1218	minor1971/56/33	BOC	pue	Huitoto Muinane	p u ɛ
1219	thiesen1998/137/23	BOC	íhjyuú	Bora	i ʔ xʝ u u
1220	thiesen1998/178/21	BOC	mehdo	Bora	m e ʔ tʰ o
#
1221	minor1971/6/14	MORD	aì̵níde	Huitoto Muinane	a ɯ̀ n i d ɛ
1222	burtch1983/30/10	MORD	aì̵nirite	Huitoto Murui	aɯ̀ n i ɾ i t ɛ
1223	burtch1983/30/10	MORD	aì̵nide	Huitoto Murui	aɯ̀ n i d ɛ
1224	thiesen1998/151/9	MORD	i̵hdo	Bora	i̵ ʔ tʰ o
1225	leach1969/69/6	MORD	aanun	Ocaina	a ã ɯn
1226	burtch1983/30/10	MORD	aɨnide	Huitoto Murui	a ɯ n i d ɛ
#
1227	thiesen1998/134/14	ESPALD	hallúháñe	Bora	ʔ a tʰʃ u ʔ a nʲ e
1228	minor1971/19/39	ESPALD	emódo	Huitoto Muinane	ɛ m o d o
1229	thiesen1998/134/14	ESPALD	hallúcu	Bora	ʔ a tʰʃ u kʰ u
1230	burtch1983/76/15	ESPALD	emodo	Huitoto Murui	ɛ m ɔ d ɔ
1231	leach1969/115/51	ESPALD	juuhxomó	Ocaina	ʔ ɯ ɯ ʔ x o m o
1232	leach1969/115/48	ESPALD	juuhxo	Ocaina	ʔ ɯ ɯ ʔ x o
1233	leach1969/115/51	ESPALD	juuhxó	Ocaina	ʔ ɯ ɯ ʔ x o
1234	thiesen1998/134/14	ESPALD	hallu	Bora	ʔ a tʰʃ u
#
1235	leach1969/134/11	MAN	on̈óónpo	Ocaina	o n̥ o on p o
1236	thiesen1998/219/15	MAN	páhahji̵	Bora	pʰ a ʔ a ʔ x i̵
1237	thiesen1998/219/15	MAN	paha	Bora	pʰ a ʔ a
1238	leach1969/134/11	MAN	on̈oon	Ocaina	o n̥ o õ
1239	thiesen1998/225/11	MAN	páoha	Bora	pʰ a o ʔ a
1240	minor1971/54/23	MAN	onoì̵	Huitoto Muinane	o n o ɯ̀
